box_x,box_y,timestamp,density
20,9,70,2
20,9,71,5
20,9,72,1
20,9,73,2
20,9,74,1
20,9,75,2
20,9,76,2
20,9,77,2
20,9,78,4
20,9,79,4
20,9,80,2
20,9,81,5
20,9,82,3
20,9,84,1
20,9,85,2
20,9,86,2
20,9,89,3
20,9,90,1
20,9,92,1
20,9,93,2
20,9,94,1
20,9,95,1
20,9,99,3
20,9,105,3
20,9,106,1
20,9,109,2
20,9,111,6
20,9,113,1
20,9,114,3
20,9,117,2
20,9,118,2
20,9,121,2
20,9,122,3
20,9,125,1
20,9,128,1
20,9,130,1
20,9,139,2
20,10,5,1
20,10,15,1
20,10,48,1
20,10,50,1
20,10,52,1
20,10,54,1
20,10,63,1
20,10,68,2
20,10,69,1
20,10,70,1
20,10,72,2
20,10,74,1
20,10,76,3
20,10,77,1
20,10,82,1
20,10,85,1
20,10,86,2
20,10,87,3
20,10,89,2
20,10,91,2
20,10,94,4
20,10,95,1
20,10,97,1
20,10,100,1
20,10,101,1
20,10,103,1
20,10,104,1
20,10,105,2
20,10,106,2
20,10,107,1
20,10,109,2
20,10,111,1
20,10,113,1
20,10,117,3
20,10,119,1
20,10,121,2
20,10,125,1
20,10,126,1
20,10,136,1
20,10,138,2
20,10,141,2
20,11,40,1
20,11,42,1
20,11,43,1
20,11,47,1
20,11,50,1
20,11,51,2
20,11,52,1
20,11,53,2
20,11,54,2
20,11,56,2
20,11,58,2
20,11,61,1
20,11,62,1
20,11,65,1
20,11,69,1
20,11,70,2
20,11,72,1
20,11,73,2
20,11,74,1
20,11,75,2
20,11,80,2
20,11,81,3
20,11,84,1
20,11,86,2
20,11,88,1
20,11,89,1
20,11,91,1
20,11,93,1
20,11,94,1
20,11,95,1
20,11,99,1
20,11,100,1
20,11,102,2
20,11,103,2
20,11,104,1
20,11,106,2
20,11,112,2
20,11,115,2
20,11,117,1
20,11,118,3
20,11,120,2
20,11,121,1
20,11,123,1
20,11,124,1
20,11,127,3
20,11,131,1
20,11,134,1
20,11,135,2
20,11,136,1
20,11,141,4
20,13,7,3
20,13,8,3
20,13,10,3
20,13,12,1
20,13,13,1
20,13,15,1
20,13,16,2
20,13,33,1
20,13,37,2
20,13,40,1
20,13,42,1
20,13,43,1
20,13,46,2
20,13,47,1
20,13,48,3
20,13,49,1
20,13,51,1
20,13,52,1
20,13,53,3
20,13,54,3
20,13,55,3
20,13,57,1
20,13,59,1
20,13,60,1
20,13,61,1
20,13,62,3
20,13,63,5
20,13,64,3
20,13,65,4
20,13,67,1
20,13,68,9
20,13,69,4
20,13,70,2
20,13,71,7
20,13,72,2
20,13,73,3
20,13,74,4
20,13,75,2
20,13,76,8
20,13,77,5
20,13,78,3
20,13,79,5
20,13,80,6
20,13,81,2
20,13,82,4
20,13,83,4
20,13,84,4
20,13,85,8
20,13,86,5
20,13,87,5
20,13,88,2
20,13,89,2
20,13,90,2
20,13,91,9
20,13,92,3
20,13,93,9
20,13,94,7
20,13,95,9
20,13,96,3
20,13,97,4
20,13,98,6
20,13,99,1
20,13,100,9
20,13,101,1
20,13,102,4
20,13,104,7
20,13,105,7
20,13,106,5
20,13,107,5
20,13,108,2
20,13,109,6
20,13,110,15
20,13,111,4
20,13,112,5
20,13,113,11
20,13,114,4
20,13,115,5
20,13,116,8
20,13,117,1
20,13,118,4
20,13,119,5
20,13,120,7
20,13,121,6
20,13,122,5
20,13,123,3
20,13,124,8
20,13,125,7
20,13,126,6
20,13,127,4
20,13,128,3
20,13,129,4
20,13,130,8
20,13,131,5
20,13,132,2
20,13,133,3
20,13,134,3
20,13,135,4
20,13,136,4
20,13,137,1
20,13,138,4
20,13,139,4
20,13,141,1
20,16,0,1
20,16,1,3
20,16,4,4
20,16,7,1
20,16,18,1
20,16,21,1
20,16,34,1
20,16,35,1
20,16,43,1
20,16,46,2
20,16,47,1
20,16,48,2
20,16,50,2
20,16,51,1
20,16,53,2
20,16,55,1
20,16,56,1
20,16,57,3
20,16,59,2
20,16,61,2
20,16,62,3
20,16,63,3
20,16,64,6
20,16,65,4
20,16,66,3
20,16,68,2
20,16,69,6
20,16,70,7
20,16,71,4
20,16,72,10
20,16,73,3
20,16,74,3
20,16,75,3
20,16,76,4
20,16,77,13
20,16,78,2
20,16,79,4
20,16,80,7
20,16,81,4
20,16,82,5
20,16,83,7
20,16,84,4
20,16,85,8
20,16,86,8
20,16,87,4
20,16,88,6
20,16,89,5
20,16,90,3
20,16,91,6
20,16,92,5
20,16,93,8
20,16,94,9
20,16,95,6
20,16,96,10
20,16,97,8
20,16,98,1
20,16,99,3
20,16,100,3
20,16,101,4
20,16,102,8
20,16,103,2
20,16,104,7
20,16,105,5
20,16,106,2
20,16,107,8
20,16,108,4
20,16,109,5
20,16,110,5
20,16,111,5
20,16,112,5
20,16,114,6
20,16,115,4
20,16,116,5
20,16,117,2
20,16,118,4
20,16,119,3
20,16,120,6
20,16,121,8
20,16,122,7
20,16,123,1
20,16,124,5
20,16,125,3
20,16,126,3
20,16,127,8
20,16,128,1
20,16,129,1
20,16,130,6
20,16,131,3
20,16,132,1
20,16,133,2
20,16,134,3
20,16,135,3
20,16,136,4
20,16,137,1
20,16,138,5
20,16,142,1
20,19,1,2
20,19,3,2
20,19,4,1
20,19,5,1
20,19,7,1
20,19,11,1
20,19,16,2
20,19,20,1
20,19,26,1
20,19,51,1
20,19,52,1
20,19,54,1
20,19,56,1
20,19,57,2
20,19,58,1
20,19,60,1
20,19,61,1
20,19,62,2
20,19,63,2
20,19,64,6
20,19,65,3
20,19,66,2
20,19,67,2
20,19,68,6
20,19,69,2
20,19,70,1
20,19,72,2
20,19,73,2
20,19,74,2
20,19,75,3
20,19,76,1
20,19,77,2
20,19,80,6
20,19,82,5
20,19,83,4
20,19,85,3
20,19,86,1
20,19,87,7
20,19,88,2
20,19,90,2
20,19,91,8
20,19,92,4
20,19,93,2
20,19,96,4
20,19,97,4
20,19,98,3
20,19,99,3
20,19,100,1
20,19,101,1
20,19,102,2
20,19,105,2
20,19,106,4
20,19,107,3
20,19,108,2
20,19,109,3
20,19,110,5
20,19,111,5
20,19,112,1
20,19,113,1
20,19,114,1
20,19,115,5
20,19,117,2
20,19,118,6
20,19,119,2
20,19,120,3
20,19,121,3
20,19,125,2
20,19,127,1
20,19,128,4
20,19,133,1
20,19,137,3
20,19,139,1
20,20,3,1
20,20,45,1
20,20,47,1
20,20,48,2
20,20,55,1
20,20,61,1
20,20,62,3
20,20,66,1
20,20,70,2
20,20,71,1
20,20,73,2
20,20,74,2
20,20,78,1
20,20,79,1
20,20,80,1
20,20,81,4
20,20,82,2
20,20,83,1
20,20,84,1
20,20,85,2
20,20,86,1
